"Document","Motif","Probability","Overlap Score","Precursor Mass","Retention Time","Document Annotation"
"document_1","motif_49","0.549","0.044","226.9506","None","None"
"document_1","motif_92","0.450","0.347","226.9506","None","None"
"document_10","motif_211","0.718","0.827","708.5086","None","None"
"document_10","motif_224","0.099","0.196","708.5086","None","None"
"document_10","motif_170","0.099","0.364","708.5086","None","None"
"document_10","motif_117","0.079","0.649","708.5086","None","None"
"document_100","motif_251","0.987","0.034","337.2336","None","None"
"document_1000","motif_336","0.999","0.629","1058.5995","None","None"
"document_1001","motif_290","0.698","0.575","342.1535","None","None"
"document_1001","motif_137","0.058","0.755","342.1535","None","None"
"document_1001","motif_197","0.053","0.434","342.1535","None","None"
"document_1002","motif_177","0.932","0.093","285.1978","None","None"
"document_1003","motif_340","0.735","0.077","339.1245","None","None"
"document_1003","motif_242","0.152","0.196","339.1245","None","None"
"document_1003","motif_282","0.102","0.059","339.1245","None","None"
"document_1004","motif_84","0.888","0.727","519.4169","None","None"
"document_1005","motif_9","0.999","0.016","289.1244","None","None"
"document_1006","motif_33","0.999","0.018","349.1823","None","None"
"document_1007","motif_363","0.771","0.117","304.2829","None","None"
"document_1007","motif_317","0.170","0.099","304.2829","None","None"
"document_1008","motif_211","0.594","0.827","1371.9549","None","None"
"document_1008","motif_123","0.406","0.085","1371.9549","None","None"
"document_1009","motif_366","0.920","0.026","275.1088","None","None"
"document_101","motif_1","0.887","0.218","492.8822","None","None"
"document_101","motif_92","0.113","0.298","492.8822","None","None"
"document_1010","motif_55","0.576","0.056","415.2578","None","None"
"document_1010","motif_71","0.196","0.780","415.2578","None","None"
"document_1010","motif_202","0.132","0.933","415.2578","None","None"
"document_1011","motif_71","0.971","0.868","400.2161","None","None"
"document_1012","motif_235","0.941","0.044","272.2933","None","None"
"document_1013","motif_148","1.000","0.128","794.4648","None","None"
"document_1014","motif_46","0.937","0.111","224.1275","None","None"
"document_1015","motif_239","0.991","0.094","158.0958","None","None"
"document_1016","motif_124","0.400","0.146","385.3771","None","None"
