Document	Motif	Probability	Overlap Score	Precursor Mass	Retention Time	Document Annotation	Motif_consensus	Motif_2	Proba_2	Overl_2	Motif_3	Proba_3	Overl_3	Motif_4	Proba_4	Overl_4	Motif_5	Proba_5	Overl_5	Motif_6	Proba_6	Overl_6	Motif_7	Proba_7	Overl_7	Motif_8	Proba_8	Overl_8	Motif_9	Proba_9	Overl_9
1	M49	0.5489999999999999	0.044000000000000004	226.9506	None	None	M49,M92	M92	0.45	0.34700000000000003																					
10	M211	0.718	0.8270000000000001	708.5086	None	None	M211,M224,M170,M117	M224	0.099	0.196	M170	0.099	0.364	M117	0.079	0.649															
100	M251	0.987	0.034	337.2336	None	None	M251																								
1000	M336	0.9990000000000001	0.629	1058.5995	None	None	M336																								
1001	M290	0.698	0.575	342.1535	None	None	M290,M137,M197	M137	0.057999999999999996	0.755	M197	0.053	0.434																		
1002	M177	0.932	0.09300000000000001	285.1978	None	None	M177																								
1003	M340	0.735	0.077	339.1245	None	None	M340,M242,M282	M242	0.152	0.196	M282	0.102	0.059000000000000004																		
1004	M84	0.888	0.727	519.4169	None	None	M84																								
1005	M9	0.9990000000000001	0.016	289.1244	None	None	M9																								
1006	M33	0.9990000000000001	0.018000000000000002	349.1823	None	None	M33																								
1007	M363	0.7709999999999999	0.11699999999999999	304.2829	None	None	M363,M317	M317	0.17	0.099																					
1008	M211	0.594	0.8270000000000001	1371.9549	None	None	M211,M123	M123	0.406	0.085																					
1009	M366	0.92	0.026000000000000002	275.1088	None	None	M366																								
101	M1	0.887	0.218	492.8822	None	None	M1,M92	M92	0.113	0.298																					
1010	M55	0.5760000000000001	0.055999999999999994	415.2578	None	None	M55,M71,M202	M71	0.196	0.78	M202	0.132	0.9329999999999999																		
1011	M71	0.971	0.868	400.2161	None	None	M71																								
1012	M235	0.941	0.044000000000000004	272.2933	None	None	M235																								
1013	M148	1.0	0.128	794.4648	None	None	M148																								
1014	M46	0.937	0.111	224.1275	None	None	M46																								
1015	M239	0.991	0.094	158.0958	None	None	M239																								
1016	M124	0.4	0.146	385.3771	None	None	M124,M109,M220	M109	0.281	0.27899999999999997	M220	0.182	0.484																		
1017	M71	0.561	0.87	371.2318	None	None	M71,M329,M202	M329	0.22	0.462	M202	0.185	0.569																		
1018	M355	0.498	0.037000000000000005	349.2261	None	None	M355,M337	M337	0.49700000000000005	0.78																					
1019	M202	0.34700000000000003	0.843	396.3303	None	None	M202,M191,M230,M335,M170,M47	M191	0.163	0.064	M230	0.124	0.807	M335	0.12	0.35700000000000004	M170	0.099	0.43200000000000005	M47	0.086	0.9309999999999999									
102	M202	0.563	0.975	300.2	None	None	M202,M335,M47	M335	0.272	0.4	M47	0.129	0.932																		
1020	M140	0.596	0.203	325.1418	None	None	M140,M330	M330	0.39899999999999997	0.257																					
1021	M246	0.248	0.556	334.3088	None	None	M246,M307,M220,M137,M110,M47,M0	M307	0.165	0.059000000000000004	M220	0.133	0.449	M137	0.106	0.705	M110	0.087	0.5	M47	0.073	0.925	M0	0.052000000000000005	0.642						
1022	M86	0.584	0.017	382.3663	None	None	M86,M31	M31	0.313	0.32299999999999995																					
1023	M141	0.654	0.45299999999999996	321.3135	None	None	M141,M137,M110	M137	0.125	0.7859999999999999	M110	0.08900000000000001	0.423																		
1024	M297	0.47700000000000004	0.084	335.2182	None	None	M297,M147,M352	M147	0.083	0.10300000000000001	M352	0.071	0.318																		
1025	M65	0.379	0.265	319.2979	None	None	M65,M220,M137,M110,M0	M220	0.20199999999999999	0.5489999999999999	M137	0.19	0.782	M110	0.091	0.45	M0	0.071	0.64												
1026	M373	0.569	0.282	323.1835	None	None	M373,M147,M96,M371	M147	0.121	0.309	M96	0.11699999999999999	0.799	M371	0.085	0.909															
1027	M3	0.997	0.019	362.3013	None	None	M3																								
1028	M261	0.502	0.11599999999999999	554.5596	None	None	M261,M129,M356,M117	M129	0.261	0.35100000000000003	M356	0.13	0.385	M117	0.106	0.649															
1029	M81	0.992	0.085	318.1896	None	None	M81																								
103	M124	0.9229999999999999	0.017	178.1583	None	None	M124,M276	M276	0.055	0.039																					
1030	M115	0.963	0.48700000000000004	302.1584	None	None	M115																								
1031	M78	0.6759999999999999	0.124	391.34	None	None	M78,M354,M126,M1,M0	M354	0.114	0.42200000000000004	M126	0.079	0.5479999999999999	M1	0.07400000000000001	0.299	M0	0.057	0.768												
1032	M26	0.809	0.8220000000000001	848.2681	None	None	M26,M119	M119	0.191	0.46299999999999997																					
1033	M224	0.85	0.298	294.2621	None	None	M224,M117	M117	0.15	0.649																					
1034	M364	0.534	0.141	520.3525	None	None	M364,M239	M239	0.465	0.386																					
1035	M244	0.932	0.021	226.2156	None	None	M244																								
1036	M286	0.971	0.106	284.2932	None	None	M286																								
1037	M26	0.821	0.795	686.1789	None	None	M26,M316	M316	0.179	0.435																					
1038	M169	0.95	0.096	270.2777	None	None	M169																								
1039	M367	0.6729999999999999	0.265	350.3404	None	None	M367,M220,M141,M137	M220	0.131	0.552	M141	0.061	0.231	M137	0.053	0.703															
